Gmt time,Open,High,Low,Close,Volume
01.07.2022 02:18:00.000,1.04707,1.04717,1.04707,1.04714,25479999.5422
01.07.2022 02:19:00.000,1.04717,1.04717,1.04713,1.04717,25290000.9155
01.07.2022 02:20:00.000,1.04717,1.04717,1.04708,1.04708,30020000.4578
01.07.2022 02:21:00.000,1.04707,1.04707,1.04705,1.04707,8100000.3815
01.07.2022 02:22:00.000,1.04707,1.04713,1.04707,1.04712,14600000.3815
01.07.2022 02:23:00.000,1.04711,1.04716,1.04706,1.04709,66040000.9155
01.07.2022 02:24:00.000,1.04709,1.04717,1.04709,1.04717,34720001.2207
01.07.2022 02:25:00.000,1.04717,1.04720,1.04714,1.04715,37669998.1689
01.07.2022 02:26:00.000,1.04716,1.04719,1.04712,1.04715,60869998.9319
01.07.2022 02:27:00.000,1.04713,1.04718,1.04708,1.04708,35900001.5259
01.07.2022 02:28:00.000,1.04708,1.04708,1.04697,1.04698,9460000.0381
01.07.2022 02:29:00.000,1.04696,1.04701,1.04693,1.04693,46139999.3896
01.07.2022 02:30:00.000,1.04693,1.04697,1.04689,1.04689,23049999.2371
01.07.2022 02:31:00.000,1.04690,1.04690,1.04663,1.04663,78160003.6621
01.07.2022 02:32:00.000,1.04663,1.04663,1.04639,1.04645,122900001.5259
01.07.2022 02:33:00.000,1.04645,1.04657,1.04638,1.04638,82110000.6104
01.07.2022 02:34:00.000,1.04638,1.04643,1.04623,1.04625,105500000
01.07.2022 02:35:00.000,1.04624,1.04643,1.04622,1.04638,68440002.4414
01.07.2022 02:36:00.000,1.04635,1.04659,1.04634,1.04652,99050003.0518
01.07.2022 02:37:00.000,1.04653,1.04660,1.04644,1.04652,153059997.5586
01.07.2022 02:38:00.000,1.04653,1.04659,1.04652,1.04653,146630004.8828
01.07.2022 02:39:00.000,1.04653,1.04655,1.04649,1.04650,85830001.8311
01.07.2022 02:40:00.000,1.04649,1.04658,1.04643,1.04648,57060001.3733
01.07.2022 02:41:00.000,1.04649,1.04649,1.04635,1.04640,103279998.7793
01.07.2022 02:42:00.000,1.04639,1.04647,1.04639,1.04645,40009998.3215
